,Data Analyst,Data Architect,Database Administrator,Data Engineer,Product Manager,Business Analyst,Data Scientist
0,19,3,2,3,3,4,4
1,1,22,3,2,0,1,0
2,3,0,43,1,2,3,1
3,1,2,4,13,0,0,1
4,4,3,1,1,66,3,5
5,19,4,6,1,3,64,6
6,6,2,0,13,0,2,41
