,Product Manager,Business Analyst,Data Scientist,Database Administrator,Data Architect,Data Analyst,Data Engineer
0,54,11,3,1,0,1,4
1,4,58,7,11,7,15,1
2,1,2,45,1,3,4,7
3,1,1,0,47,2,6,6
4,0,0,1,3,18,1,2
5,3,5,4,6,1,21,2
6,0,0,2,1,2,1,15
