,Product Manager,Database Administrator,Data Engineer,Data Scientist,Data Analyst,Business Analyst,Data Architect
102,0.035,0.03,0.035,0.055,0.71,0.105,0.03
103,0.02,0.07,0.085,0.52,0.135,0.14,0.03
104,0.02,0.015,0.07,0.09,0.69,0.08,0.035
105,0.005,0.14,0.025,0.045,0.68,0.085,0.02
106,0.005,0.07,0.0125,0.1375,0.72,0.025,0.03
107,0.01,0.02,0.015,0.005,0.741,0.184,0.025
108,0.03,0.6,0.08,0.01,0.09,0.11,0.08
109,0.01,0.145,0.01,0.035,0.715,0.045,0.04
110,0.02,0.03,0.0175,0.1725,0.7,0.05,0.01
111,0.06,0.485,0.06,0.02,0.235,0.065,0.075
112,0.01,0.02,0.01,0.015,0.69,0.225,0.03
113,0.16,0.065,0.195,0.09,0.115,0.205,0.17
114,0.06,0.115,0.0,0.035,0.095,0.085,0.61
115,0.04,0.45,0.14,0.05,0.135,0.1,0.085
116,0.055,0.06,0.06583333333333333,0.0875,0.115,0.405,0.21166666666666667
117,0.0,0.01,0.0,0.0,0.0,0.005,0.985
118,0.005,0.025,0.04,0.085,0.01,0.0,0.835
119,0.005,0.06,0.065,0.005,0.045,0.06,0.76
120,0.065,0.025,0.375,0.07,0.105,0.18,0.18
121,0.045,0.22,0.075,0.05,0.13,0.325,0.155
122,0.015,0.04,0.03,0.08,0.015,0.015,0.805
123,0.01,0.025,0.025,0.015,0.10511904761904761,0.13988095238095238,0.68
124,0.085,0.035,0.025,0.025,0.05,0.085,0.695
125,0.95,0.0,0.03,0.01,0.0,0.01,0.0
126,0.91,0.015,0.015,0.02,0.03,0.01,0.0
127,0.81,0.01,0.005,0.03,0.045,0.09,0.01
128,0.945,0.005,0.01,0.015,0.01,0.015,0.0
129,0.845,0.015,0.035,0.025,0.02,0.035,0.025
130,0.785,0.0,0.02,0.025,0.075,0.09,0.005
131,0.195,0.06,0.065,0.075,0.18,0.33,0.095
132,0.915,0.01,0.02,0.01,0.0,0.03,0.015
133,0.735,0.005,0.03,0.015,0.1,0.08,0.035
134,0.805,0.015,0.065,0.015,0.02,0.075,0.005
135,0.795,0.015,0.025,0.02,0.04,0.09,0.015
136,0.785,0.005,0.05,0.03,0.05,0.075,0.005
137,0.03,0.875,0.02,0.005,0.03,0.025,0.015
138,0.045,0.65,0.018333333333333333,0.08,0.07,0.085,0.051666666666666666
139,0.185,0.1,0.085,0.03,0.25,0.2,0.15
140,0.015,0.77,0.05,0.01,0.035,0.03,0.09
141,0.025,0.815,0.04,0.015,0.06,0.02,0.025
142,0.005,0.92,0.01,0.005,0.01,0.025,0.025
143,0.035,0.705,0.045,0.02,0.055,0.1,0.04
144,0.025,0.1,0.045,0.09,0.27375,0.44625,0.02
145,0.005,0.785,0.005,0.0,0.08,0.07,0.055
146,0.02,0.9,0.02,0.01,0.015,0.01,0.025
147,0.025,0.775,0.035,0.005,0.02,0.09,0.05
148,0.095,0.325,0.22,0.07,0.085,0.115,0.09
149,0.01,0.675,0.045,0.02,0.06,0.12,0.07
150,0.005,0.915,0.01,0.0,0.035,0.015,0.02
151,0.005,0.92,0.02,0.0,0.025,0.025,0.005
152,0.005,0.875,0.035,0.01,0.035,0.01,0.03
153,0.005,0.73,0.0425,0.005,0.06,0.085,0.0725
154,0.11,0.22,0.105,0.115,0.1,0.2,0.15
155,0.19,0.12,0.07458333333333333,0.07,0.16,0.165,0.22041666666666668
156,0.035,0.04,0.08166666666666668,0.45708333333333334,0.29916666666666664,0.06583333333333333,0.02125
