,state
CA,342
NC,175
TX,141
FL,140
VA,109
MO,95
CO,85
NY,84
GA,84
UT,70
CT,69
IN,56
OR,55
NJ,50
MA,46
PA,45
MD,45
MI,44
IA,43
TN,40
NV,40
OH,31
WA,30
KS,24
DC,20
WI,12
KY,4
IL,2
LA,2
